id_,adress,price,district,num_rum,area,num_floor1,num_floor2,add_inform,metro,GK
22,"Голосiївський пр-т, 60",1000,Голосеевский,2,60,13,23,"
Дополнительно : 
Аренда без какой либо комиссии в самом безопасном жилом комплексе столицы - Park Avenue V.I.P,  г. Киев,  Проспект Голосеевский 60.

60 м2 комфорта и максимально - возможной функциональности,  отлично подойдёт одному человеку или паре.

За 1000 $ в месяц вы приобретаете:

атмосферность и стиль - в апартаментах выполнен качественный ремонт с использованием теплых цветов,  Вы точно захотите сюда возвращаться;

безопасность - апартаменты находятся на территории самого охраняемого комплекса Киева,  за Вашу безопасность отвечают более 40 охранников,  и система видео наблюдения состоящая из более чем 300 камер.

инфраструктуру - в самом комплексе есть всё чего Вы можете пожелать: кафе,  два супермаркета,  аптека,  рестораны,  отделения банков,  учебные заведения для детей,  зона барбекю для жильцов комплекса и кинотеатр под открытым небом,  для любителей спорта действует Sportlife ;

комфорт - апартаменты с повешенной комфортабельность,  а именно - это грамотная планировка (кухня- гостиная,  спальная комната,  гардероб,  ванная и открытая лоджия),  в плане технического оснащения Вы точно не будете нуждаться в чем- либо;

рекреацию - буквально в 5 минутах легкой ходьбы расположился самый большой парк восточной Европы - им. Максима Рыльского,  ТРЦ ""Ocean Plaza"" идеально подойдёт для любителей шоппинга;

удобство - расположение объекта просто невероятное,  в ближайшем доступе две станции метро (Голосеевская и Демеевская),  а что бы попасть в центр всего лишь надо проехать 10 мин на автомобиле (учитывая столичные пробки);

От себя добавлю,  что такие варианты на рынке не застаиваются,  так что рекомендую поторопиться и записаться на демонстрацию квартиры.
Благодарю за внимание и жду ваших звонков.
  ",1,1
23,"Рогозiвська вул., 3а",281,Днепровский,2,46,8,9,"
Дополнительно : 
ул. Рогозовская,  3А,  2к квартира все раздельно_долгосрочно! Сдается в аренду 2к квартира 46м2. Отличная планировка: две комнаты раздельные,  лоджия застеклена,  санузел раздельный. Комнаты 11 м. кв и 18.5 м2. Все есть для комфортной жизни. Дом возле леса,  чистый воздух,  в пешей доступности озеро. Рядом поликлиника,  садик,  школа,  магазины. Отличная транспортная развязка-автобус,  маршрутки идут к метро Черниговская-Демеевская-Дружбы Народов. 8000грн
  ",3,0
24,"Ахматової Анни , 39a",633,Дарницкий,3,88,5,16,"
Дополнительно : 
Аренда квартиры на Позняках
- улица Ахматовой 39а
- метро Осокорки,  пешком до 10 минут
- рядом ТРЦ River Mall

3к трёхкомнатная квартира 90 кв.м,  планировка раздельная
- Спальная комната (кровать двуспальная,  прикроватные тумбочки,  шкафы встроенные,  телевизор,  кондиционер)

- Гостиная (мебельная стенка,  диван и кресла,  кондиционер)

- Жилая комната (детская или рабочий кабинет),  новый диван ""Blest"",  телевизор

- Кухня большая просторная

Во двое имеется закрытая парковка. В доме консьерж,  2 лифта (пассажирский и грузовой). Тамбур закрывается.

Рядом вся инфраструктура! Зелёный дворик. Комиссия: 50% Дополнительные контакты: 0631199440.
  ",1,0
25,"Сiкорського Iгоря Авiаконструктора , 6",211,Шевченковский,1,20,8,9,"
Дополнительно : 
Предлагается в аренду уютная уютная 1к квартира
адрес: Шевченковский район ,  ул. Сикорского (Танковая) 6

-Общая площадь 22м2
-8 этаж 9 этажного дома
-Животные обсуждаются
-Балкон застеклён ,  обшит деревом

Квартира полностью укомплектована мебелью и техникой

Комната:
-Шкафы
-Кресло
-Кондиционер
-Диван раскладной

Кухня:
-Стол ,  стулья
-Холодильник
-Духовой шкаф
-Плита газовая
-Кухонная мебель
-Стиральная машинка

Санузел смежный,  есть бойлер

Инфраструктура:
-Школы,  садики
-Рестораны ,  кафе
-Магазины, супермаркеты
-Много зелени и мест для прогулок
-Парковая зона : Парк Нивки ,  Сырецкий парк ,  парк Дубки

Хорошая транспортная развязка . Ближайшая станция метро Берестейская - 15 минут спокойным шагом. Остановка общественного транспорта возле дома.

Звоните по тел.: +380675750933 /Наталья/ Комиссия: 50%
  ",3,0
26,"Правди пр-т, 10",299,Подольский,2,52,7,9,"
Дополнительно : 
Після косметичного ремонту 2 кімн.кв. Правди 10,  Виноградар,  Мінська,  Нивки,  Лук""янівська.
7/9 п.будинку,  домофон.
Квартира з комплектом меблів та необхідною побутовою технікою (бойлер,  пральна машина,  холодильник,  TV,  витяжка над плитою,  пилотяг)
Квартира пропонується АН Місто+
комісія 50% після підписання Договору оренди з власником. Комиссия: 50%
  ",3,1
27,"Оболонський пр-т, 1",703,Оболонский,1,45,9,26,"
Дополнительно : 
Сдается 1ком. квартира ЖК бизнес-класса Obolon Sky пр.Оболонский, 1, ст м.Оболонь 1 мин.
Квартира 45 м.кв., балкон из кухни застеклен. Стильный ремонт. Качественная встроенная мебель (вся сделанная на заказ). Сантехника и техника ведущих производителей. Встроенная кухонная техника (посудомоечная,  духовой шкаф,  варочная поверхность,  вытяжка,  холодильник,  микроволновка ). Кондиционер в кухне и комнате,  бойлер 80л.Комната зонированая на спальню с 2-х сп. кроватью и зоной гостиной с диваном. Большая гардеробная .Первая сдача. Комплекс имеет закрытую охраняемую территорию с ландшафтным дизайном,  собственным сквером с выходом к Кирилловскому озеру и красивую набережную. На территории есть подземный паркинг и наземный паркинг. Ст. метро Оболонь 1 мин.,  рядом ТРЦ Метрополис,  Dream Town,  Спорт Ленд Цена 20000 грн/мес + к.у. 0958468561, 0973206552 Ирина. Комиссия: 50% Дополнительные контакты: 0973206552.
  ",1,1
28,"улица Михаила Максимовича, 3е",680,Голосеевский,2,65,24,25,"
Дополнительно : 
Сдам 2-к квартиру 18500 грн,  ЖК  4-сезона по ул. Михаила Максимовича 3е,  первая сдача. Общая площадь 65м2,  этаж 24/25,  в квартире есть вся необходимая мебель и бытовая техника,  в квартире установлены счетчики на воду и тепло. Окна спальни выходят на вднх остальные во двор. до метро васильковская 8 минут ходьбы.  Комиссия. Тел 0987466019. Комиссия: 50%
  ",1,1
29,Рибальська ,1176,Печерский,3,76,9,9,"
Дополнительно : 
Сдам 3-к квартиру 32000 грн ул.Рыбальская 7,  метро Печерская. Этаж 9/9,  общая площадь 76м2. Гостинная -Студио,  спальня,  детская,  2 больших лоджии. Дизайнерский ремонт. Хорошая инфраструктура,  рядом маркет,  школа,  метро. Укомплектована всей бытовой техникой (кондиционер,  бойлер,  вытяжка. духовка,  плита,  холодильник,  стир.,  посудомоечная машина,  3 плазмы),  4 вместительных шкафа,  просторный санузел - большая ванная,  плитка - Италия,  сантехника  Германия,  бронедверь. Комиссия. Тел 0987466019. Комиссия: 50%
  ",2,1
30,"Святошинська пл., 1",457,Святошинский,2,65,1,21,"
Дополнительно : 
Предлагается в аренду раздельная двухкомнатная квартира по адресу
Святошинская площадь 1

-Евроремонт
-Материал кирпич
-1 этаж 21 этажного дома
-Общая площадь 65м2,  кухня 14
-На этаже очень тихие,  хорошие соседи

Квартира полностью укомплектована мебелью и техникой

Первая комната:

-Стол
-Два кресла
-Раскладной диван

Вторая комната:

-большой шкаф
-прикроватные тумбочки
-двух спальная кровать с ортопедическим матрасом

Кухня:

-вытяжка
-холодильник
-два кресла
-кухонная мебель
-варочная панель
-стол со стульями
-раскладной диван

Ванная:

-бойлер
-стиральная машина
-санузел раздельный ,  оформление плиткой

Есть балкон

Инфраструктура:
-Кафе
-Парк
-Школа
-Садик
-И многое другое

Хорошая транспортная развязка. Метро Святошино 3 минуты

Звоните по тел.: +38 (067) 875-36-31/Анна/ Комиссия: 50%
  ",2,1
31,"Солом`янська , 35",281,Соломенский,2,50,4,5,"
Дополнительно : 
Пропонується в оренду 2к квартира по вул. Соломянська,  35. Косметичний ремонт,  квартира укомплектована всіма необхідними меблями і технікою: кухонні меблі,  шафи,  дивани,  пральна машина,  холодильник,  і ін. Чистий підїзд,  домофон,  хороші сусіди. Поруч парк,  безліч магазинів,  кафе,  ТРЦ,  шкіл,  дитячих садів і ін. Відмінна транспортна розвязка. Комиссия: 50%
  ",3,0
32,"Пчiлки Олени , 2",317,Дарницкий,1,50,12,25,"
Дополнительно : 
Дарницкий р-н,  ж/м Позняки,  ул.Е.Пчелки,  2; 12этаж. общ.50м/жилая19м/кухня14м; Квартира укомплектована гарнитурной мебелью и бытовой техникой: кухонная стенка,  электроплита,  кухонный стол с табуретками,  двуспальный диван на кухне,  микроволновка,  электровытяжка,  диван-еврокнижка и два кресла в комнате,  огромный вместительный зеркальный шкаф-купе в коридоре, телевизор,  бойлер.Санузел совмещеннный,  есть счетчики воды и индивидуальный теплосчетчик.  Выход на застекленный балкон из кухни,  окна пластиковые. Во дворе дома детская площадка. Рядом с домом остановка транспорта. Недалеко несколько общеобразовательных школ,  детский садик,  супермаркет Novus и т.д Прямое сообщение к м.Позняки,  м.Осокорки,   м.Левобережная. Фото реальные. 9000грн/месяц+ к.у. Наталья Васильевна,  риелтор (063)5781412,  (095)2728986. Комиссия: 50%
  ",3,1
33,"Бондарська , 19",404,Подольский,2,52,2,9,"
Дополнительно : 
2-комн.кв.,  ул.Бондарская,  Куреневка,  Куреневский рынок-3 мин.ходьбы.
Сдается 2 комнатная квартира,  ул.Бондарская, 19,  метро Дорогожичи,  Лукьяновсая,  Тараса Шевченко - 10 мин. транспортом. Подольский р-н.
2-й этаж 9-ти-этажного дома. Общая площадь  52 кв.м.,  жилая - 32 кв.м.,  кухня  9 кв.м. Комнаты раздельные.
Дизайнерский ремонт (металлопластиковые окна,  новые батареи,  бронедверь,  отапливаемый балкон,  раздельный санузел в современном кафеле,  многоуровневое освещение). 
Новая мягкая мебель (2 дивана). Встроенная кухня,  шкафы-купе. 
Бытовая техника (холодильник,  стиральная машина-автомат,  газовая плита,  духовой шкаф,  вытяжка,  кондиционер,  бойлер,  СВЧ).
В доме чистый подъезд (поменяны окна,  установлен домофон). 
Развитая инфраструктура (школа и детский сад,  Куреневский рынок,  салоны красоты,  супермаркеты и другие прелести развитой инфраструктуры). 
Отличная транспортная развязка (метро  10-15 мин. транспортом,  трамвайная линия  5 мин.ходьбы).
Арендная плата - 11000 грн. Сдается на длительный срок. 
Риелтор. 
Тел. 0951712195,   0675012722.
Звоните,  это отличное предложение для вашего комфортного проживания! Комиссия: 50%
  ",3,1
34,"Кудряшова , 7",598,Соломенский,3,70,2,9,"
Дополнительно : 
ул. Кудряшова,  2/9 эт. кирпичного дома,  площадь- 70/45/9.,  комнаты раздельные,  кухня совмещена с просторной гостиной,  2 лоджии застеклены,  утеплены,  с/у раздельный,  ванна ""джакузи"". Квартира с добротным ремонтом,  укомплектована большим угловым диваном,  спальным нарнитуром с двуспальной кроватью и детской комнатой. В спальне и в гостиной установлены кондиционеры,  ТВ плазма. Кухня укомплектована всей необходимой бытовой техникой ведущих производителей,  включая посудомоечную машину. В коридоре 2 вместительных шкафа-купе. В квартире прохладно летом,  тепло зимой. Рядом с домом спорт-клуб ""Sport-Life"" с бассейном. До ст.метро ""Вокзальная"" можно дойти пешком. На соседней улице по выходным дням функционирует продуктовый ярмарок. Цена 17000 грн/мес + коммунальные услуги. Комиссия: 50%
  ",3,0
35,"Василькiвська , 53",317,Голосеевский,2,45,1,5,"
Дополнительно : 
ул. Васильковская,  53,  к. 2,  1/5 эт. кирп. пл 45/30/7,  комнаты проходные. Квартира без балкона. Полностью укомплектована мебелью и необходимо бытовой техникой. Окна стеклопакеты,  пол- паркет,  3 спальных места,  обустроено рабочее место (письменный стол). В с/у установлен бойлер на 50 л. Дом в тихом,  зеленом месте. Рядом парк ВДНХ. До ст.метро ""Выставочный центр""- 5-7 мин. пешком. Цена 9000 грн/мес. + ком.услуги. Комиссия: 50%
  ",1,0
36,"Чорновола В`ячеслава , 20",1200,Шевченковский,3,130,19,23,"
Дополнительно : 
Элегантная современность  так можно в двух словах охарактеризовать нашу квартиру. Авторский ремонт наполнен самой современной техникой и мебелью. 
Просторная квартира 130м с функциональной планировкой со светлыми и раздельными комнатами,  большой кухней гостиной 46м2,  где в уютной обстановке,  будете проводить время в кругу дорогих вам людей,  а сочетание дорогих,  натуральных материалов,  минимализм в мебели и декоре - по достоинству оценят все ваши знакомые. 
Расположение дома в центральном районе Киева, 
Метро 5 минут пешком Лукьяновская,  продмагазин,  кафе в доме! Спортзал 24/7 во дворе стадион!
Без комиссии для арендатора! Дополнительные контакты: 0665751854.
  ",2,0
